# F16 NGUYEN AERO-DATASET
# CN = CN(aoa, aos, dh = 0 deg)
# NUM ROWS: 20
# ROWS aoa_long_breaks_deg: -20.00000,-15.00000,-10.00000,-5.00000,0.00000,5.00000,10.00000,15.00000,20.00000,25.00000,30.00000,35.00000,40.00000,45.00000,50.00000,55.00000,60.00000,70.00000,80.00000,90.00000
# NUM COLUMNS: 19
# COLUMNS aos_breaks_deg: -30.00000,-25.00000,-20.00000,-15.00000,-10.00000,-8.00000,-6.00000,-4.00000,-2.00000,0.00000,2.00000,4.00000,6.00000,8.00000,10.00000,15.00000,20.00000,25.00000,30.00000
-0.05510,-0.05880,-0.04960,-0.04060,-0.02190,-0.01450,-0.00750,-0.00120,0.00020,0.00000,-0.00900,0.00120,0.00590,0.00990,0.01410,0.03330,0.04250,0.05160,0.04770
-0.05610,-0.05270,-0.04560,-0.03330,-0.02480,-0.01790,-0.01270,-0.00570,-0.00180,0.00000,0.00250,0.00580,0.01110,0.01800,0.02380,0.03300,0.04500,0.05210,0.05530
-0.06660,-0.06370,-0.05450,-0.04680,-0.02970,-0.02330,-0.01450,-0.00790,-0.00310,0.00000,0.00280,0.00750,0.01500,0.02210,0.03020,0.04740,0.05520,0.06460,0.06740
-0.09020,-0.08120,-0.06640,-0.05230,-0.03660,-0.02770,-0.01940,-0.01170,-0.00550,0.00000,0.00630,0.01270,0.02140,0.02970,0.03980,0.05530,0.06930,0.08430,0.09330
-0.10580,-0.09160,-0.07490,-0.05780,-0.04130,-0.03170,-0.02260,-0.01380,-0.00660,0.00000,0.00610,0.01350,0.02250,0.03240,0.04140,0.05790,0.07460,0.09140,0.10550
-0.10740,-0.09160,-0.07540,-0.05870,-0.04150,-0.03290,-0.02270,-0.01450,-0.00640,0.00000,0.00610,0.01480,0.02310,0.03350,0.04210,0.05940,0.07620,0.09140,0.10790
-0.09810,-0.07980,-0.07180,-0.05680,-0.04160,-0.03260,-0.02320,-0.01460,-0.00620,0.00000,0.00630,0.01470,0.02400,0.03320,0.04270,0.05790,0.07270,0.08090,0.09950
-0.08120,-0.05920,-0.05370,-0.05130,-0.03750,-0.03010,-0.02120,-0.01210,-0.00520,0.00000,0.00630,0.01410,0.02430,0.03340,0.04040,0.05410,0.05660,0.06220,0.08400
-0.06840,-0.04910,-0.02900,-0.03210,-0.03080,-0.02620,-0.01790,-0.01020,-0.00420,0.00000,0.00180,0.00680,0.01520,0.02330,0.02960,0.03090,0.02790,0.04790,0.06740
-0.05280,-0.04110,-0.02230,-0.02290,-0.02400,-0.01880,-0.01290,-0.00720,-0.00290,0.00000,0.00330,0.00880,0.01470,0.02160,0.02580,0.02510,0.02420,0.04290,0.05470
-0.03000,0.00020,0.01150,0.01640,0.00910,-0.00370,-0.00240,0.00900,0.00250,0.00000,-0.00290,-0.00230,-0.00130,-0.00300,-0.00190,-0.00970,-0.00420,0.00690,0.03700
-0.00980,0.01680,0.03920,0.05140,0.03960,0.03400,0.01630,0.01030,0.00690,0.00000,-0.00970,-0.01470,-0.01570,-0.01890,-0.02950,-0.04150,-0.02910,-0.00680,0.01940
-0.00250,0.00540,0.06830,0.07440,0.05060,0.03510,0.02070,0.01310,0.00520,0.00000,-0.00710,-0.01360,-0.02160,-0.03290,-0.04400,-0.06770,-0.06220,0.00120,0.02020
-0.01110,0.00100,0.02940,0.06120,0.04510,0.03690,0.02930,0.02010,0.01160,0.00000,-0.02370,-0.03750,-0.04600,-0.05650,-0.06940,-0.08470,-0.05300,-0.02460,-0.01260
-0.02560,-0.01360,0.00580,0.02870,0.02540,0.02310,0.02330,0.01050,0.00780,0.00000,-0.00630,-0.02170,-0.03550,-0.04560,-0.05480,-0.05740,-0.03460,-0.01610,-0.00460
-0.03020,-0.02280,0.01300,0.01400,0.00400,0.00270,-0.00230,-0.00700,0.00430,0.00000,0.00280,-0.00580,-0.01720,-0.02390,-0.02580,-0.03610,-0.03550,0.00140,0.00730
-0.01880,-0.00750,0.02110,0.00800,-0.00610,-0.01000,-0.01740,-0.02190,-0.00790,0.00000,0.00750,0.01030,0.00430,-0.00130,-0.00190,-0.01560,-0.02840,0.00040,0.01100
0.02960,0.03160,0.02100,0.00920,0.00030,-0.00620,-0.01280,-0.01930,-0.01870,0.00000,0.00390,0.01510,0.01630,0.01160,0.00590,-0.00230,-0.01410,-0.02460,-0.02280
0.02640,0.03510,0.02540,0.01800,0.01330,0.01260,0.01070,0.00790,0.00550,0.00000,-0.00010,0.00600,-0.00330,-0.00690,-0.00750,-0.01300,-0.01980,-0.02420,-0.02090
0.02740,0.01280,0.01180,0.00590,0.00510,0.00440,0.00310,0.00270,0.00170,0.00000,-0.00180,-0.00230,-0.00310,-0.00480,-0.00480,-0.00540,-0.01110,-0.01210,-0.01630
